Price Range,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Total,Suburb
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Brodribb River
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Brodribb River
Total,3,0,3,5,4,3,10,0,0,22,Brodribb River
Negative/Nil income,0,0,0,0,0,3,4,0,0,6,Tamleugh North
$1-$149,0,0,0,0,0,0,0,0,0,0,Tamleugh North
$150-$299,0,0,0,0,0,0,0,0,0,0,Tamleugh North
$300-$399,0,0,0,0,0,0,4,0,0,5,Tamleugh North
$400-$499,0,0,0,0,0,0,0,0,0,0,Tamleugh North
$500-$649,0,0,0,0,0,0,0,0,0,0,Tamleugh North
$650-$799,0,0,0,0,0,0,0,0,0,0,Tamleugh North
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Tamleugh North
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Tamleugh North
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Tamleugh North
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Tamleugh North
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Tamleugh North
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Tamleugh North
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Tamleugh North
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Tamleugh North
Personal income not stated,0,0,0,0,0,0,4,0,0,3,Tamleugh North
Total,4,0,0,0,3,4,4,0,4,18,Tamleugh North
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Cargerie
$1-$149,0,0,0,0,0,0,0,0,0,0,Cargerie
$150-$299,0,0,0,0,0,0,0,0,0,4,Cargerie
$300-$399,0,0,0,0,0,0,0,0,0,0,Cargerie
$400-$499,0,0,0,0,0,0,0,0,0,0,Cargerie
$500-$649,0,0,0,0,3,0,0,0,0,3,Cargerie
$650-$799,0,0,0,0,0,0,0,0,0,0,Cargerie
$800-$999 ,0,0,0,0,0,0,4,0,0,4,Cargerie
"$1,000-$1,249",0,4,0,0,0,0,0,0,0,0,Cargerie
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Cargerie
"$1,500-$1,749",0,0,0,0,3,0,0,0,0,3,Cargerie
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,4,Cargerie
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Cargerie
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Cargerie
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Cargerie
Personal income not stated,0,0,0,4,0,0,0,0,0,6,Cargerie
Total,3,4,0,11,8,0,8,3,0,33,Cargerie
Negative/Nil income,5,0,0,0,0,0,5,0,0,10,Lillico (Vic.)
$1-$149,7,0,0,0,0,0,0,0,0,3,Lillico (Vic.)
$150-$299,0,0,0,0,0,0,0,0,0,0,Lillico (Vic.)
$300-$399,5,0,0,0,0,5,0,0,0,7,Lillico (Vic.)
$400-$499,0,0,0,0,0,0,0,4,0,3,Lillico (Vic.)
$500-$649,0,0,0,0,0,0,0,0,0,7,Lillico (Vic.)
$650-$799,0,0,0,0,5,0,0,0,0,9,Lillico (Vic.)
$800-$999 ,0,0,0,0,0,3,0,0,0,5,Lillico (Vic.)
"$1,000-$1,249",0,0,0,0,0,4,0,0,0,10,Lillico (Vic.)
"$1,250-$1,499",0,0,0,3,0,0,0,0,0,7,Lillico (Vic.)
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Lillico (Vic.)
"$1,750-$1,999",0,0,0,0,3,3,0,0,0,4,Lillico (Vic.)
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,4,Lillico (Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Lillico (Vic.)
"$3,500 or more",0,0,0,0,0,0,0,0,0,5,Lillico (Vic.)
Personal income not stated,0,0,0,0,0,0,0,0,0,3,Lillico (Vic.)
Total,10,5,12,11,12,14,11,3,5,74,Lillico (Vic.)
Negative/Nil income,0,0,0,0,0,0,0,0,0,3,Noradjuha
$1-$149,0,0,0,0,0,0,0,0,0,0,Noradjuha
$150-$299,0,0,3,0,0,0,0,0,0,3,Noradjuha
$300-$399,0,0,0,0,0,0,0,0,0,3,Noradjuha
$400-$499,0,0,0,0,0,0,0,0,0,6,Noradjuha
$500-$649,0,0,0,0,0,7,0,0,0,10,Noradjuha
$650-$799,0,0,0,0,0,3,0,0,0,3,Noradjuha
$800-$999 ,0,0,0,0,0,0,0,0,0,3,Noradjuha
"$1,000-$1,249",0,0,3,0,0,3,0,0,0,9,Noradjuha
"$1,250-$1,499",0,0,0,0,0,4,0,0,0,8,Noradjuha
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,6,Noradjuha
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Noradjuha
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,3,Noradjuha
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,7,Noradjuha
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Noradjuha
Personal income not stated,0,0,5,5,0,0,4,0,0,11,Noradjuha
Total,3,0,12,16,7,16,8,0,0,72,Noradjuha
Negative/Nil income,6,0,0,0,6,11,4,4,0,25,Raymond Island
$1-$149,4,0,0,0,0,0,8,0,0,12,Raymond Island
$150-$299,0,0,3,0,4,10,19,13,0,50,Raymond Island
$300-$399,0,0,4,0,0,5,33,20,0,62,Raymond Island
$400-$499,0,0,0,7,4,6,41,26,6,93,Raymond Island
$500-$649,0,4,3,0,4,14,25,12,8,71,Raymond Island
$650-$799,0,6,4,5,0,7,27,12,0,59,Raymond Island
$800-$999 ,5,0,3,4,7,8,15,6,7,43,Raymond Island
"$1,000-$1,249",0,0,0,3,10,5,13,8,0,40,Raymond Island
"$1,250-$1,499",0,0,0,0,7,8,16,0,0,30,Raymond Island
"$1,500-$1,749",0,0,0,0,6,3,3,0,0,17,Raymond Island
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,3,Raymond Island
"$2,000-$2,999",0,0,0,0,0,6,0,3,0,16,Raymond Island
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Raymond Island
"$3,500 or more",0,0,0,0,6,4,0,0,0,10,Raymond Island
Personal income not stated,0,0,6,0,0,16,7,10,0,35,Raymond Island
Total,14,9,21,21,44,102,206,116,27,567,Raymond Island
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Corack East
$1-$149,0,0,0,0,0,0,0,0,0,0,Corack East
$150-$299,0,0,0,0,0,0,0,0,0,0,Corack East
$300-$399,0,0,0,0,0,0,0,0,0,0,Corack East
$400-$499,0,0,0,0,0,0,0,0,0,0,Corack East
$500-$649,0,0,0,0,0,0,0,0,0,0,Corack East
$650-$799,0,0,0,0,0,0,0,0,0,3,Corack East
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Corack East
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Corack East
"$1,250-$1,499",0,0,4,0,0,0,0,0,0,4,Corack East
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Corack East
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Corack East
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Corack East
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Corack East
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Corack East
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Corack East
Total,0,0,3,0,0,3,0,0,0,4,Corack East
Negative/Nil income,0,3,0,0,0,0,0,0,0,3,Merrinee
$1-$149,0,0,0,0,0,0,0,0,0,0,Merrinee
$150-$299,0,0,0,0,0,0,0,0,0,5,Merrinee
$300-$399,0,0,0,0,0,0,0,0,0,0,Merrinee
$400-$499,0,0,0,0,0,0,0,0,0,0,Merrinee
$500-$649,0,0,0,0,0,0,0,0,0,0,Merrinee
$650-$799,0,0,0,5,0,0,0,0,0,5,Merrinee
$800-$999 ,0,0,0,0,0,0,0,0,0,4,Merrinee
"$1,000-$1,249",0,0,0,0,4,3,0,0,0,8,Merrinee
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Merrinee
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Merrinee
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Merrinee
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Merrinee
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Merrinee
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Merrinee
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Merrinee
Total,0,5,0,7,3,7,4,4,0,26,Merrinee
Negative/Nil income,4,0,0,0,0,0,0,0,0,5,Woorndoo
$1-$149,4,0,0,0,0,0,0,0,0,0,Woorndoo
$150-$299,0,0,0,0,0,0,0,0,0,5,Woorndoo
$300-$399,0,0,0,0,0,0,4,0,0,10,Woorndoo
$400-$499,0,0,0,9,0,0,0,0,0,9,Woorndoo
$500-$649,0,0,0,4,0,0,0,0,0,9,Woorndoo
$650-$799,0,0,4,3,3,4,0,3,0,15,Woorndoo
$800-$999 ,0,0,0,0,0,0,0,0,0,4,Woorndoo
"$1,000-$1,249",0,0,7,0,5,4,0,0,0,11,Woorndoo
"$1,250-$1,499",0,0,8,4,0,3,0,0,0,14,Woorndoo
"$1,500-$1,749",0,0,0,4,0,0,0,0,0,5,Woorndoo
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,3,Woorndoo
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,4,Woorndoo
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,6,Woorndoo
"$3,500 or more",0,5,0,0,0,3,0,0,0,9,Woorndoo
Personal income not stated,0,0,0,5,0,4,0,0,0,12,Woorndoo
Total,5,10,18,23,19,25,12,14,0,120,Woorndoo
Negative/Nil income,66,23,75,56,28,51,35,25,0,363,Albion (Vic.)
$1-$149,22,15,3,11,5,7,11,9,0,86,Albion (Vic.)
$150-$299,16,23,29,21,22,36,22,14,10,196,Albion (Vic.)
$300-$399,7,19,49,29,31,41,69,41,16,319,Albion (Vic.)
$400-$499,8,31,35,26,26,44,70,43,25,313,Albion (Vic.)
$500-$649,5,31,84,35,28,28,40,30,15,298,Albion (Vic.)
$650-$799,4,43,106,46,39,27,30,9,0,301,Albion (Vic.)
$800-$999 ,3,42,119,82,35,36,12,3,0,335,Albion (Vic.)
"$1,000-$1,249",0,25,147,92,65,37,14,7,0,374,Albion (Vic.)
"$1,250-$1,499",0,15,80,62,31,13,7,0,0,204,Albion (Vic.)
"$1,500-$1,749",0,10,68,59,21,21,9,0,0,190,Albion (Vic.)
"$1,750-$1,999",0,0,48,40,25,13,3,0,0,128,Albion (Vic.)
"$2,000-$2,999",0,0,62,67,39,26,3,0,0,198,Albion (Vic.)
"$3,000-$3,499",0,0,0,17,3,4,0,0,0,28,Albion (Vic.)
"$3,500 or more",0,0,15,12,8,5,4,0,0,45,Albion (Vic.)
Personal income not stated,14,29,78,73,35,34,40,30,8,337,Albion (Vic.)
Total,154,320,1000,725,446,419,367,210,80,3716,Albion (Vic.)
Negative/Nil income,52,3,15,21,18,32,26,10,0,181,Werribee South
$1-$149,24,5,4,0,10,10,8,5,0,65,Werribee South
$150-$299,11,8,6,8,16,13,24,13,4,103,Werribee South
$300-$399,0,12,12,11,7,24,38,28,0,139,Werribee South
$400-$499,14,6,8,4,12,21,26,17,16,126,Werribee South
$500-$649,0,10,12,18,18,31,30,13,4,132,Werribee South
$650-$799,0,22,22,15,21,22,20,8,4,128,Werribee South
$800-$999 ,0,29,27,30,22,18,20,13,0,165,Werribee South
"$1,000-$1,249",0,16,53,27,40,30,34,6,4,211,Werribee South
"$1,250-$1,499",0,9,34,32,32,29,8,5,0,148,Werribee South
"$1,500-$1,749",0,0,23,26,35,29,12,0,0,139,Werribee South
"$1,750-$1,999",0,0,12,32,26,20,0,0,0,99,Werribee South
"$2,000-$2,999",0,0,13,40,37,26,11,6,0,136,Werribee South
"$3,000-$3,499",0,0,3,3,13,3,3,0,0,23,Werribee South
"$3,500 or more",0,0,0,12,14,12,7,0,0,45,Werribee South
Personal income not stated,10,25,34,33,44,31,29,26,10,243,Werribee South
Total,129,143,277,326,354,358,301,145,47,2081,Werribee South
Negative/Nil income,0,0,0,0,0,0,0,0,0,4,Wannon
$1-$149,7,0,0,0,0,0,5,0,0,12,Wannon
$150-$299,0,0,0,0,0,0,0,0,0,3,Wannon
$300-$399,0,0,0,0,0,0,4,5,0,14,Wannon
$400-$499,0,0,0,0,0,0,0,0,0,9,Wannon
$500-$649,0,0,0,0,0,0,0,0,0,0,Wannon
$650-$799,0,4,0,0,4,0,4,0,0,9,Wannon
$800-$999 ,0,0,0,0,6,0,3,0,0,7,Wannon
"$1,000-$1,249",0,3,0,3,0,0,0,0,0,10,Wannon
"$1,250-$1,499",0,0,0,3,0,0,0,0,0,7,Wannon
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Wannon
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,3,Wannon
"$2,000-$2,999",0,0,0,0,5,0,0,0,0,7,Wannon
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Wannon
"$3,500 or more",0,0,0,0,0,0,0,0,0,3,Wannon
Personal income not stated,0,0,0,0,0,0,6,0,0,6,Wannon
Total,6,8,7,17,20,12,20,8,0,100,Wannon
Negative/Nil income,900,194,320,325,202,280,176,65,11,2487,Cranbourne North
$1-$149,275,86,66,57,48,42,36,3,0,621,Cranbourne North
$150-$299,194,159,117,129,101,101,84,21,6,916,Cranbourne North
$300-$399,62,129,138,121,112,152,209,144,21,1080,Cranbourne North
$400-$499,33,126,177,163,128,135,162,119,30,1073,Cranbourne North
$500-$649,53,154,219,235,178,143,120,58,6,1172,Cranbourne North
$650-$799,29,196,318,332,264,173,76,14,0,1396,Cranbourne North
$800-$999 ,28,219,493,512,366,206,59,15,3,1894,Cranbourne North
"$1,000-$1,249",5,171,532,610,472,264,52,8,3,2106,Cranbourne North
"$1,250-$1,499",3,66,338,442,317,176,20,3,0,1369,Cranbourne North
"$1,500-$1,749",0,28,306,419,257,127,27,0,0,1164,Cranbourne North
"$1,750-$1,999",0,10,171,269,179,76,14,0,0,715,Cranbourne North
"$2,000-$2,999",0,11,186,428,259,100,10,0,0,994,Cranbourne North
"$3,000-$3,499",0,0,32,91,34,22,3,0,0,184,Cranbourne North
"$3,500 or more",0,0,30,59,33,9,3,0,0,137,Cranbourne North
Personal income not stated,98,81,212,189,135,104,47,35,20,909,Cranbourne North
Total,1686,1629,3649,4383,3069,2101,1105,491,103,18211,Cranbourne North
Negative/Nil income,0,0,0,0,0,0,0,0,0,3,Pound Creek
$1-$149,8,0,0,0,0,0,4,0,0,7,Pound Creek
$150-$299,0,0,0,0,0,0,0,0,0,3,Pound Creek
$300-$399,0,0,0,0,0,0,6,0,0,5,Pound Creek
$400-$499,0,0,0,0,0,7,0,0,0,8,Pound Creek
$500-$649,0,0,0,0,0,3,3,0,0,6,Pound Creek
$650-$799,0,0,0,0,0,0,3,0,0,8,Pound Creek
$800-$999 ,0,0,0,0,0,6,0,0,0,9,Pound Creek
"$1,000-$1,249",0,0,0,0,0,3,0,0,0,18,Pound Creek
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,4,Pound Creek
"$1,500-$1,749",0,0,4,5,5,3,0,0,0,12,Pound Creek
"$1,750-$1,999",0,0,0,0,3,0,0,0,0,5,Pound Creek
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,3,Pound Creek
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Pound Creek
"$3,500 or more",0,0,0,0,0,0,0,0,0,4,Pound Creek
Personal income not stated,0,0,0,0,3,4,10,0,0,14,Pound Creek
Total,10,0,4,10,20,27,27,7,3,106,Pound Creek
Negative/Nil income,4,0,0,0,0,0,5,0,0,13,Erica
$1-$149,0,0,0,0,0,0,0,0,0,0,Erica
$150-$299,0,0,0,0,3,0,0,0,0,8,Erica
$300-$399,0,0,0,0,4,9,3,0,0,17,Erica
$400-$499,0,0,0,0,3,0,11,0,4,15,Erica
$500-$649,0,0,0,0,0,3,3,0,0,16,Erica
$650-$799,0,0,0,0,5,0,0,0,0,16,Erica
$800-$999 ,0,0,0,0,0,4,0,0,0,13,Erica
"$1,000-$1,249",0,0,4,0,6,0,0,6,0,16,Erica
"$1,250-$1,499",0,0,0,3,3,6,0,0,0,11,Erica
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,4,Erica
"$1,750-$1,999",0,0,0,0,6,0,0,0,0,11,Erica
"$2,000-$2,999",0,0,0,0,5,0,0,0,0,5,Erica
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Erica
"$3,500 or more",0,0,0,0,0,0,0,0,0,3,Erica
Personal income not stated,0,0,0,3,3,3,3,0,0,15,Erica
Total,9,6,8,18,34,44,29,12,4,167,Erica
Negative/Nil income,3,0,5,0,0,4,0,0,0,11,Neerim East
$1-$149,3,0,0,5,0,0,3,0,0,9,Neerim East
$150-$299,0,0,0,0,0,0,0,0,0,0,Neerim East
$300-$399,0,0,0,4,0,4,11,0,0,12,Neerim East
$400-$499,0,0,0,0,0,0,3,0,0,9,Neerim East
$500-$649,0,0,0,0,0,0,0,0,0,9,Neerim East
$650-$799,0,0,0,5,3,0,7,0,0,17,Neerim East
$800-$999 ,0,0,0,0,4,3,6,0,0,7,Neerim East
"$1,000-$1,249",0,0,0,3,3,0,0,0,0,11,Neerim East
"$1,250-$1,499",0,0,3,0,3,0,0,0,0,11,Neerim East
"$1,500-$1,749",0,0,0,5,3,0,0,0,0,14,Neerim East
"$1,750-$1,999",0,0,0,0,0,4,0,0,0,5,Neerim East
"$2,000-$2,999",0,0,0,0,4,3,0,0,0,10,Neerim East
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Neerim East
"$3,500 or more",0,0,0,0,0,0,0,0,0,10,Neerim East
Personal income not stated,7,0,0,6,5,4,3,0,0,20,Neerim East
Total,17,10,11,27,33,31,36,4,0,162,Neerim East
Negative/Nil income,3,0,0,0,3,0,0,3,0,17,Freshwater Creek
$1-$149,16,0,0,0,0,0,0,3,0,22,Freshwater Creek
$150-$299,3,3,3,0,5,4,0,0,0,24,Freshwater Creek
$300-$399,5,0,0,10,4,0,4,11,0,32,Freshwater Creek
$400-$499,0,3,6,0,4,0,5,3,0,17,Freshwater Creek
$500-$649,4,5,0,3,4,8,15,3,0,42,Freshwater Creek
$650-$799,0,0,0,5,4,5,5,0,0,19,Freshwater Creek
$800-$999 ,3,0,4,6,6,8,10,0,0,30,Freshwater Creek
"$1,000-$1,249",0,0,5,6,3,6,6,0,0,36,Freshwater Creek
"$1,250-$1,499",0,5,5,0,11,4,0,0,0,26,Freshwater Creek
"$1,500-$1,749",0,0,0,3,8,6,8,0,0,25,Freshwater Creek
"$1,750-$1,999",0,0,0,0,3,5,0,0,0,11,Freshwater Creek
"$2,000-$2,999",0,0,0,6,4,5,0,0,0,23,Freshwater Creek
"$3,000-$3,499",0,0,0,0,3,0,0,0,0,8,Freshwater Creek
"$3,500 or more",0,0,0,7,12,3,0,0,0,24,Freshwater Creek
Personal income not stated,9,0,0,5,3,3,4,8,3,29,Freshwater Creek
Total,39,17,30,55,75,59,66,28,9,376,Freshwater Creek
Negative/Nil income,0,0,0,0,0,0,0,0,0,3,Warragul West
$1-$149,0,0,0,0,0,0,0,0,0,0,Warragul West
$150-$299,0,0,0,0,0,0,0,0,0,5,Warragul West
$300-$399,0,0,0,0,3,0,0,3,0,4,Warragul West
$400-$499,0,0,0,0,0,0,0,0,0,0,Warragul West
$500-$649,0,0,0,0,0,3,3,0,0,4,Warragul West
$650-$799,0,0,0,0,0,0,0,4,0,4,Warragul West
$800-$999 ,0,0,0,0,0,0,0,0,0,3,Warragul West
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,3,Warragul West
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Warragul West
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Warragul West
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Warragul West
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Warragul West
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Warragul West
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Warragul West
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Warragul West
Total,0,0,7,3,6,3,4,6,0,27,Warragul West
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Arnold West
$1-$149,0,0,0,0,0,0,0,0,0,0,Arnold West
$150-$299,0,0,0,0,0,0,0,0,0,0,Arnold West
$300-$399,0,0,0,0,0,0,0,0,0,0,Arnold West
$400-$499,0,0,0,0,3,0,0,0,0,5,Arnold West
$500-$649,0,0,0,0,0,0,0,0,0,3,Arnold West
$650-$799,0,0,0,0,0,0,0,0,0,0,Arnold West
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Arnold West
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,4,Arnold West
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Arnold West
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Arnold West
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Arnold West
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Arnold West
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Arnold West
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Arnold West
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Arnold West
Total,0,0,0,0,3,0,5,0,0,19,Arnold West
Negative/Nil income,0,0,0,0,0,0,3,0,0,8,Wonwondah
$1-$149,4,0,0,0,0,0,0,0,0,4,Wonwondah
$150-$299,0,0,0,0,0,0,0,0,0,4,Wonwondah
$300-$399,0,0,0,0,0,0,5,3,0,13,Wonwondah
$400-$499,0,0,0,0,3,3,0,0,0,3,Wonwondah
$500-$649,0,0,0,0,0,0,0,0,0,8,Wonwondah
$650-$799,0,0,0,0,0,0,8,0,0,5,Wonwondah
$800-$999 ,0,4,0,5,6,0,0,0,0,16,Wonwondah
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,7,Wonwondah
"$1,250-$1,499",0,0,0,0,0,5,0,0,0,7,Wonwondah
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Wonwondah
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Wonwondah
"$2,000-$2,999",0,0,0,0,5,0,0,0,0,8,Wonwondah
"$3,000-$3,499",0,0,0,0,3,0,0,0,0,3,Wonwondah
"$3,500 or more",0,0,0,0,0,0,0,0,0,4,Wonwondah
Personal income not stated,0,0,0,0,0,0,0,0,0,4,Wonwondah
Total,9,4,4,11,18,14,26,3,0,92,Wonwondah
Negative/Nil income,8,0,3,9,7,14,7,0,0,47,Venus Bay (Vic.)
$1-$149,12,0,0,0,0,12,7,0,0,34,Venus Bay (Vic.)
$150-$299,0,0,4,3,4,13,11,3,0,42,Venus Bay (Vic.)
$300-$399,0,0,6,0,10,21,44,23,0,114,Venus Bay (Vic.)
$400-$499,0,0,3,3,9,32,42,19,9,124,Venus Bay (Vic.)
$500-$649,0,0,4,0,10,28,23,8,0,76,Venus Bay (Vic.)
$650-$799,0,0,6,0,3,15,20,6,0,57,Venus Bay (Vic.)
$800-$999 ,0,0,13,6,6,17,13,0,0,49,Venus Bay (Vic.)
"$1,000-$1,249",4,0,3,9,11,12,6,0,0,47,Venus Bay (Vic.)
"$1,250-$1,499",0,0,3,6,11,6,11,0,0,40,Venus Bay (Vic.)
"$1,500-$1,749",0,0,0,6,5,5,3,0,0,23,Venus Bay (Vic.)
"$1,750-$1,999",0,0,5,7,5,3,8,0,0,26,Venus Bay (Vic.)
"$2,000-$2,999",0,0,0,10,10,13,5,0,0,39,Venus Bay (Vic.)
"$3,000-$3,499",0,0,0,0,4,0,0,0,0,3,Venus Bay (Vic.)
"$3,500 or more",0,0,7,3,13,0,0,0,0,19,Venus Bay (Vic.)
Personal income not stated,0,3,11,7,8,21,17,19,3,84,Venus Bay (Vic.)
Total,26,11,67,77,117,206,211,83,18,810,Venus Bay (Vic.)
Negative/Nil income,60,10,7,13,17,15,16,7,0,138,Yarrambat
$1-$149,26,4,3,0,3,4,16,7,0,65,Yarrambat
$150-$299,13,8,0,4,5,7,11,5,4,62,Yarrambat
$300-$399,6,6,9,3,9,4,7,9,0,50,Yarrambat
$400-$499,6,10,0,5,11,9,22,14,0,87,Yarrambat
$500-$649,11,9,8,10,25,15,10,12,5,103,Yarrambat
$650-$799,3,19,6,5,15,15,18,7,0,101,Yarrambat
$800-$999 ,0,22,18,10,22,15,6,4,0,94,Yarrambat
"$1,000-$1,249",0,15,24,10,24,29,14,8,0,123,Yarrambat
"$1,250-$1,499",0,4,17,13,11,24,10,0,0,83,Yarrambat
"$1,500-$1,749",0,6,12,10,30,25,5,0,0,86,Yarrambat
"$1,750-$1,999",0,3,0,7,12,24,5,5,0,61,Yarrambat
"$2,000-$2,999",0,3,9,19,41,27,10,0,0,111,Yarrambat
"$3,000-$3,499",0,0,0,3,19,7,0,0,0,31,Yarrambat
"$3,500 or more",0,0,0,18,33,21,11,4,0,79,Yarrambat
Personal income not stated,8,8,11,8,16,23,16,7,0,95,Yarrambat
Total,129,136,114,141,281,271,174,99,21,1367,Yarrambat
Negative/Nil income,0,0,0,0,0,6,0,0,0,3,Barrys Reef
$1-$149,0,0,0,0,0,0,0,0,0,0,Barrys Reef
$150-$299,0,0,0,0,0,0,0,0,0,6,Barrys Reef
$300-$399,0,0,0,3,0,0,0,0,0,5,Barrys Reef
$400-$499,0,0,0,0,0,0,0,0,0,0,Barrys Reef
$500-$649,0,0,0,0,0,0,0,0,0,0,Barrys Reef
$650-$799,0,0,0,0,0,0,0,0,0,7,Barrys Reef
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Barrys Reef
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Barrys Reef
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Barrys Reef
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Barrys Reef
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,3,Barrys Reef
"$2,000-$2,999",0,0,3,0,0,0,0,0,0,3,Barrys Reef
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Barrys Reef
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Barrys Reef
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Barrys Reef
Total,0,0,3,13,0,9,7,3,0,30,Barrys Reef
Negative/Nil income,3,0,0,0,0,0,0,0,0,3,Dergholm
$1-$149,0,0,0,0,0,0,0,0,0,0,Dergholm
$150-$299,0,0,0,0,0,0,0,0,0,0,Dergholm
$300-$399,0,0,0,0,0,0,4,0,0,4,Dergholm
$400-$499,0,0,0,0,0,0,0,0,0,6,Dergholm
$500-$649,0,0,0,0,3,0,3,0,0,12,Dergholm
$650-$799,0,0,0,0,0,0,0,0,0,3,Dergholm
$800-$999 ,0,0,0,0,3,0,0,0,0,4,Dergholm
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Dergholm
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Dergholm
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Dergholm
"$1,750-$1,999",0,0,0,0,0,0,4,0,0,6,Dergholm
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Dergholm
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Dergholm
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Dergholm
Personal income not stated,0,0,0,0,0,0,0,4,0,6,Dergholm
Total,3,5,0,5,7,5,14,7,0,45,Dergholm
